Customer_Id,Gender,Age,City,First_Purchase_Date,Last_Purchase_Date,Total_Orders,Preferred_Category,Discount_Used_PCT,Delivery_Days,Ratings,Rule_Based_Revenue,Days_From_Last_Purchase  ,Churn,Customer_Risk,Flag_Age,Flag_Delivery,Flag_Low_Rating,Flag_Order,Flag_Discount,Toatal_Customers,Churn_Rate,Retention_Rate,Avg_Delivery_Days,Avg_Ratings,High_Risk_Customers,Low_Risk_Customers,Average_Order_Value,Customer_LifeTime_Value,CLV_Segments
CUST1000,Male,34,Mumbai,07-07-2023,22-12-2024,5,Fragrance,0.17,3,4,1750,10,NO,LOW RISK,OK,OK,OK,OK,OK,1000,72.50%,27.50%,4.43,3.7,3.30%,96.70%,350,1750,Medium CLV
CUST1001,Female,35,Chennai,26-02-2023,13-03-2024,3,Skincare,0.15,4.1,4.6,1350,294,YES,LOW RISK,OK,OK,OK,OK,OK,,,,,,,,450,1350,Low CLV
CUST1002,Male,50,Delhi,20-01-2023,28-03-2024,6,Skincare,0.52,4.2,3.7,2100,279,YES,LOW RISK,OK,OK,OK,OK,FLAG,,,,,,,,350,2100,Medium CLV
CUST1003,Male,37,Pune,30-09-2023,06-01-2024,6,Haircare,0.22,5,2.8,2100,361,YES,LOW RISK,OK,OK,FLAG,OK,OK,,,,,,,,350,2100,Medium CLV
CUST1004,Male,30,Delhi,29-04-2023,15-06-2024,8,Haircare,0.35,2.4,2.5,2800,200,YES,LOW RISK,OK,OK,FLAG,OK,OK,,,,,,,,350,2800,Medium CLV
CUST1005,Female,45,Pune,12-03-2023,11-09-2024,2,Makeup,0.11,3.1,3.3,700,112,YES,LOW RISK,OK,OK,FLAG,OK,OK,,,,,,,,350,700,Low CLV
CUST1006,Male,46,Pune,04-01-2023,08-03-2024,1,Haircare,0.67,6.7,4.2,450,299,YES,LOW RISK,OK,FLAG,OK,FLAG,FLAG,,,,,,,,450,450,Low CLV
CUST1007,Male,30,Bangalore,09-08-2023,11-02-2024,4,Makeup,0.6,6.5,4.5,1800,325,YES,LOW RISK,OK,FLAG,OK,OK,FLAG,,,,,,,,450,1800,Medium CLV
CUST1008,Male,52,Chennai,14-01-2023,13-04-2024,7,Fragrance,0.6,5.9,3.2,2450,263,YES,LOW RISK,FLAG,FLAG,FLAG,OK,FLAG,,,,,,,,350,2450,Medium CLV
CUST1009,Female,23,Mumbai,03-01-2023,11-07-2024,3,Haircare,0.28,2.1,3.7,1050,174,YES,LOW RISK,OK,OK,OK,OK,OK,,,,,,,,350,1050,Low CLV
CUST1010,Male,35,Mumbai,04-08-2023,18-10-2024,3,Skincare,0.53,3.6,3.6,1050,75,NO,LOW RISK,OK,OK,OK,OK,FLAG,,,,,,,,350,1050,Low CLV
CUST1011,Male,22,Hyderabad,17-08-2023,02-01-2024,5,Skincare,0.1,5.1,3.5,1750,365,YES,LOW RISK,OK,FLAG,OK,OK,OK,,,,,,,,350,1750,Medium CLV
CUST1012,Male,42,Pune,05-07-2023,13-10-2024,5,Haircare,0.01,3.4,3.1,1750,80,NO,LOW RISK,OK,OK,FLAG,OK,OK,,,,,,,,350,1750,Medium CLV
