Customer_Id,Gender,Age,City,First_purchase_date,Last_purchase_date,Total_Orders,Preferred_Category,Discount_Used_PCT,Delivery_Days,Ratings
CUST1000,Male,34,Mumbai,07-07-2023,22-12-2024,5,Fragrance,0.17,3,4
CUST1001,Female,35,Chennai,26-02-2023,13-03-2024,3,Skincare,0.15,4.1,4.6
CUST1002,Male,50,Delhi,20-01-2023,28-03-2024,6,Skincare,0.52,4.2,3.7
CUST1003,Male,37,Pune,30-09-2023,06-01-2024,6,Haircare,0.22,5,2.8
CUST1004,Male,30,Delhi,29-04-2023,15-06-2024,8,Haircare,0.35,2.4,2.5
CUST1005,Female,45,Pune,12-03-2023,11-09-2024,2,Makeup,0.11,3.1,3.3
CUST1006,Male,46,Pune,04-01-2023,08-03-2024,1,Haircare,0.67,6.7,4.2
CUST1007,Male,30,Bangalore,09-08-2023,11-02-2024,4,Makeup,0.6,6.5,4.5
CUST1008,Male,52,Chennai,14-01-2023,13-04-2024,7,Fragrance,0.6,5.9,3.2
CUST1009,Female,23,Mumbai,03-01-2023,11-07-2024,3,Haircare,0.28,2.1,3.7
CUST1010,Male,35,Mumbai,04-08-2023,18-10-2024,3,Skincare,0.53,3.6,3.6
CUST1011,Male,22,Hyderabad,17-08-2023,02-01-2024,5,Skincare,0.1,5.1,3.5
CUST1012,Male,42,Pune,05-07-2023,13-10-2024,5,Haircare,0.01,3.4,3.1
CUST1013,Male,19,Mumbai,24-02-2023,23-05-2024,3,Makeup,0.01,6.5,2.8
CUST1014,Female,27,Bangalore,11-09-2023,28-09-2024,9,Skincare,0.41,5.2,3
CUST1015,Male,47,Pune,24-01-2023,11-02-2024,4,Makeup,0.32,2.4,2.6
CUST1016,Female,22,Bangalore,11-06-2023,04-08-2024,3,Haircare,0.36,6.5,3
CUST1017,Female,50,Mumbai,07-06-2023,16-09-2024,2,Haircare,0.01,6.8,2.5
CUST1018,Female,18,Mumbai,23-03-2023,18-07-2024,9,Skincare,0.3,2.4,4.1
CUST1019,Male,35,Hyderabad,08-06-2023,08-11-2024,4,Haircare,0.5,4.7,3.3
CUST1020,Female,49,Mumbai,07-07-2023,17-11-2024,3,Fragrance,0.31,3.5,4.9
CUST1021,Male,28,Pune,01-03-2023,04-03-2024,7,Fragrance,0.51,4,3
CUST1022,Female,38,Pune,30-07-2023,14-11-2024,8,Skincare,0.16,2.9,3.4
CUST1023,Female,43,Pune,01-06-2023,23-09-2024,2,Fragrance,0.57,4.9,3.4
CUST1024,Female,42,Hyderabad,19-04-2023,17-05-2024,7,Makeup,0.41,6.8,2.5
CUST1025,Female,39,Hyderabad,17-03-2023,14-05-2024,5,Skincare,0.15,4.5,4.6
CUST1026,Female,44,Mumbai,30-01-2023,03-06-2024,5,Skincare,0.17,2.4,2.6
CUST1027,Female,30,Delhi,27-04-2023,02-08-2024,3,Makeup,0.44,5.1,4.9
CUST1028,Female,50,Delhi,11-07-2023,27-07-2024,5,Fragrance,0.58,3.7,4.7
CUST1029,Female,51,Hyderabad,19-01-2023,05-05-2024,2,Fragrance,0.29,6.3,3.8
CUST1030,Male,58,Mumbai,22-06-2023,03-08-2024,4,Fragrance,0.18,4.2,3.9
CUST1031,Male,52,Delhi,16-08-2023,03-11-2024,6,Skincare,0.61,3,4.1
CUST1032,Female,18,Mumbai,02-07-2023,11-01-2024,1,Skincare,0.47,3,3.5
CUST1033,Female,38,Mumbai,23-04-2023,01-10-2024,4,Fragrance,0.31,5.8,4.1
CUST1034,Female,23,Mumbai,02-07-2023,09-07-2024,6,Haircare,0.34,3.3,2.6
CUST1035,Male,45,Chennai,26-05-2023,13-10-2024,9,Fragrance,0.14,5.8,2.6
CUST1036,Female,34,Pune,26-04-2023,09-08-2024,2,Makeup,0.44,3,3.6
CUST1037,Male,22,Mumbai,23-04-2023,30-04-2024,7,Skincare,0.25,3.6,3.9
CUST1038,Male,48,Chennai,08-09-2023,12-12-2024,6,Makeup,0.7,4.3,4.7
CUST1039,Male,22,Hyderabad,08-09-2023,10-12-2024,2,Makeup,0.34,6.7,2.8
CUST1040,Male,55,Delhi,28-04-2023,01-07-2024,8,Skincare,0.34,6.7,4.6
CUST1041,Male,20,Pune,10-06-2023,27-11-2024,7,Haircare,0.4,3,3
CUST1042,Female,40,Delhi,17-07-2023,24-08-2024,5,Fragrance,0.64,3.8,3.5
CUST1043,Female,54,Pune,17-09-2023,06-12-2024,5,Makeup,0.56,2.7,3.3
CUST1044,Female,54,Delhi,28-05-2023,30-11-2024,7,Skincare,0.32,4.5,3.5
CUST1045,Female,27,Pune,28-08-2023,19-11-2024,9,Makeup,0.5,4.3,2.9
CUST1046,Female,27,Delhi,16-02-2023,14-05-2024,9,Fragrance,0.41,6.5,3.8
CUST1047,Male,36,Delhi,17-07-2023,10-10-2024,9,Haircare,0.34,6.7,4.5
CUST1048,Female,34,Delhi,16-02-2023,19-05-2024,6,Haircare,0.13,3.9,3.6
CUST1049,Female,38,Delhi,19-03-2023,12-06-2024,6,Haircare,0.32,4.5,3.7
CUST1050,Male,31,Hyderabad,04-05-2023,16-06-2024,3,Skincare,0.17,6.5,4.6
CUST1051,Female,26,Mumbai,16-03-2023,30-07-2024,1,Skincare,0.64,6,4.3
CUST1052,Male,18,Bangalore,17-05-2023,28-10-2024,7,Haircare,0.23,2,3.7
CUST1053,Female,30,Chennai,31-03-2023,12-06-2024,4,Fragrance,0.67,3.6,3.1
CUST1054,Male,21,Bangalore,02-03-2023,06-04-2024,1,Fragrance,0.37,4.1,4.7
CUST1055,Female,18,Bangalore,18-05-2023,26-08-2024,8,Skincare,0.44,3.1,3.9
CUST1056,Female,57,Pune,19-02-2023,24-07-2024,6,Haircare,0.38,3,3.1
CUST1057,Male,49,Mumbai,16-09-2023,03-03-2024,6,Fragrance,0.09,2.2,3.2
CUST1058,Male,51,Pune,17-04-2023,04-10-2024,2,Fragrance,0.26,5.2,4.5
CUST1059,Male,45,Mumbai,23-04-2023,09-10-2024,1,Fragrance,0.07,3.3,2.6
CUST1060,Male,48,Mumbai,11-09-2023,23-12-2024,2,Skincare,0.44,2.3,5
CUST1061,Male,25,Delhi,28-04-2023,02-07-2024,4,Haircare,0.31,3.2,2.8
CUST1062,Male,56,Hyderabad,17-07-2023,09-09-2024,2,Makeup,0.54,6,4.5
CUST1063,Male,43,Delhi,20-02-2023,07-09-2024,1,Haircare,0.15,6.3,3.5
CUST1064,Male,51,Hyderabad,02-09-2023,24-02-2024,7,Haircare,0.12,4.4,3.7
CUST1065,Female,20,Pune,04-02-2023,05-05-2024,8,Skincare,0.28,4.1,4.7
CUST1066,Female,29,Hyderabad,10-03-2023,31-03-2024,6,Fragrance,0.65,6.9,3.5
CUST1067,Male,18,Pune,18-02-2023,29-05-2024,4,Fragrance,0.5,3,3.8
CUST1068,Female,22,Bangalore,15-03-2023,16-08-2024,6,Skincare,0.29,3.1,2.6
CUST1069,Female,47,Bangalore,11-07-2023,08-11-2024,3,Skincare,0.36,3.5,2.5
CUST1070,Female,47,Hyderabad,18-09-2023,19-12-2024,8,Skincare,0.06,2.9,3.1
CUST1071,Female,34,Hyderabad,11-03-2023,21-09-2024,2,Skincare,0.69,3.9,4.2
CUST1072,Male,40,Pune,31-03-2023,16-07-2024,5,Skincare,0.47,6.6,2.8
CUST1073,Female,32,Delhi,17-09-2023,04-02-2024,1,Makeup,0.2,5.1,2.8
CUST1074,Male,54,Pune,06-05-2023,25-10-2024,6,Haircare,0.41,4.1,3.5
CUST1075,Female,38,Delhi,19-08-2023,28-08-2024,2,Haircare,0.08,6.7,4.1
CUST1076,Female,31,Bangalore,22-10-2023,30-10-2024,4,Haircare,0.68,2.2,4.3
CUST1077,Female,19,Mumbai,09-05-2023,06-11-2024,6,Fragrance,0.12,3.1,2.9
CUST1078,Male,28,Hyderabad,07-10-2023,09-03-2024,8,Makeup,0.45,4.8,2.7
CUST1079,Female,56,Delhi,10-04-2023,13-05-2024,8,Haircare,0.17,5.1,4.9
CUST1080,Male,55,Pune,24-10-2023,29-02-2024,6,Fragrance,0.5,2.2,3.2
CUST1081,Female,51,Bangalore,01-07-2023,07-12-2024,4,Makeup,0.54,4,4.6
CUST1082,Male,55,Delhi,23-06-2023,19-09-2024,8,Makeup,0.47,5.2,4.7
